label,n,iter,sec
dgemm,512,5,0.389033000
dgemm,512,6,0.392868000
dgemm,512,7,0.388954000
dgemm,512,8,0.390974000
dgemm,512,9,0.393030000
dgemm,512,10,0.384581000
dgemm,512,11,0.382047000
dgemm,512,12,0.383260000
dgemm,512,13,0.380208000
dgemm,512,14,0.382103000
dgemm,512,15,0.380299000
dgemm,512,16,0.377205000
dgemm,512,17,0.381164000
dgemm,512,18,0.376440000
dgemm,512,19,0.377986000
dgemm,1024,0,3.496880000
dgemm,1024,1,3.148867000
dgemm,1024,2,3.263252000
dgemm,1024,3,3.223362000
dgemm,1024,4,3.253276000
dgemm,1024,5,3.191999000
dgemm,1024,6,3.116305000
dgemm,1024,7,3.174506000
dgemm,1024,8,3.192177000
dgemm,1024,9,3.195645000
dgemm,1024,10,3.188296000
dgemm,1024,11,3.273783000
dgemm,1024,12,3.312157000
dgemm,1024,13,3.229537000
dgemm,1024,14,3.225983000
dgemm,1024,15,3.229804000
dgemm,1024,16,3.151925000
dgemm,1024,17,3.160588000
dgemm,1024,18,3.161790000
dgemm,1024,19,3.165025000
dgemm_simd,8,0,0.000001000
dgemm_simd,8,1,0.000000000
dgemm_simd,8,2,0.000000000
dgemm_simd,8,3,0.000001000
dgemm_simd,8,4,0.000000000
dgemm_simd,8,5,0.000001000
dgemm_simd,8,6,0.000000000
dgemm_simd,8,7,0.000000000
dgemm_simd,8,8,0.000000000
dgemm_simd,8,9,0.000000000
dgemm_simd,8,10,0.000000000
dgemm_simd,8,11,0.000001000
dgemm_simd,8,12,0.000000000
dgemm_simd,8,13,0.000001000
dgemm_simd,8,14,0.000001000
dgemm_simd,8,15,0.000000000
dgemm_simd,8,16,0.000000000
dgemm_simd,8,17,0.000000000
dgemm_simd,8,18,0.000001000
dgemm_simd,8,19,0.000001000
dgemm_simd,16,0,0.000001000
dgemm_simd,16,1,0.000000000
dgemm_simd,16,2,0.000001000
dgemm_simd,16,3,0.000001000
dgemm_simd,16,4,0.000001000
dgemm_simd,16,5,0.000001000
dgemm_simd,16,6,0.000001000
dgemm_simd,16,7,0.000000000
dgemm_simd,16,8,0.000001000
dgemm_simd,16,9,0.000001000
dgemm_simd,16,10,0.000001000
dgemm_simd,16,11,0.000001000
dgemm_simd,16,12,0.000001000
dgemm_simd,16,13,0.000001000
dgemm_simd,16,14,0.000001000
dgemm_simd,16,15,0.000001000
dgemm_simd,16,16,0.000000000
dgemm_simd,16,17,0.000001000
dgemm_simd,16,18,0.000001000
dgemm_simd,16,19,0.000001000
dgemm_simd,32,0,0.000005000
dgemm_simd,32,1,0.000003000
dgemm_simd,32,2,0.000004000
dgemm_simd,32,3,0.000003000
dgemm_simd,32,4,0.000003000
dgemm_simd,32,5,0.000003000
dgemm_simd,32,6,0.000003000
dgemm_simd,32,7,0.000004000
dgemm_simd,32,8,0.000003000
dgemm_simd,32,9,0.000003000
dgemm_simd,32,10,0.000003000
dgemm_simd,32,11,0.000003000
dgemm_simd,32,12,0.000004000
dgemm_simd,32,13,0.000004000
dgemm_simd,32,14,0.000004000
dgemm_simd,32,15,0.000004000
dgemm_simd,32,16,0.000004000
dgemm_simd,32,17,0.000004000
dgemm_simd,32,18,0.000004000
dgemm_simd,32,19,0.000004000
dgemm_simd,64,0,0.000033000
dgemm_simd,64,1,0.000032000
dgemm_simd,64,2,0.000031000
dgemm_simd,64,3,0.000031000
dgemm_simd,64,4,0.000029000
dgemm_simd,64,5,0.000032000
dgemm_simd,64,6,0.000031000
dgemm_simd,64,7,0.000031000
dgemm_simd,64,8,0.000031000
dgemm_simd,64,9,0.000031000
dgemm_simd,64,10,0.000031000
dgemm_simd,64,11,0.000032000
dgemm_simd,64,12,0.000031000
dgemm_simd,64,13,0.000031000
dgemm_simd,64,14,0.000032000
dgemm_simd,64,15,0.000031000
dgemm_simd,64,16,0.000029000
